keys,zh,en,ja
INFO_RMB_BRAKE_TITLE,长按右键：急刹,Hold RMB: hard brake,右長押し：急制動
INFO_RMB_BRAKE_BODY,按住右键让**全队**一起减速，松开恢复。刹车有失速软地板，减到最小可控速度为止——**不可能靠减速把自己刹到坠机**。想咬住转弯的目标时，减速往往比硬拉杆更有效。,"Holding RMB decelerates the **whole squad**; release to resume. The brake floors out just above stall — **you can never brake yourself into a crash**. To out-turn something, slowing down usually beats yanking harder.",右ボタン長押しで**全機**が減速、離せば復帰。制動には失速手前のソフトフロアがあり、**減速で墜落することはない**。旋回で食らいつくには、無理に引くより減速が有効なことが多い。
INFO_CAMERA_TITLE,镜头：平移与缩放,Camera: pan and zoom,カメラ：移動とズーム
INFO_CAMERA_BODY,WASD 或按住中键拖动可自由平移视野，滚轮缩放。看远了想回来，按空格重新锁定跟随自机。,WASD or middle-drag pans the view freely; the wheel zooms. Press Space to re-lock the camera on your aircraft.,WASD または中ボタンドラッグで視点を自由移動、ホイールでズーム。スペースで自機追尾に復帰。
INFO_KEY_NUM_TITLE,切换操控的飞机,Switch which jet you fly,操作機の切替
INFO_KEY_NUM_BODY,数字键切换到对应号机，直接接管它。原本操控的那架会交给 AI，并把手上的任务打完再归队。你的点名目标是逐机保存的，切回来时还在。,"Number keys take over the corresponding wingman. The jet you leave goes back to the AI and finishes its current job before rejoining. Assigned targets are kept per aircraft, so they are still there when you switch back.",数字キーで対応する僚機に乗り移る。手放した機体は AI に戻り、進行中の任務を終えてから編隊に復帰する。指定目標は機体ごとに保持され、戻れば残っている。
SQUAD_CONTROLLED,操控中,CONTROLLED,操作中
INFO_KEY_E_TITLE,加力模式,Afterburner mode,アフターバーナーモード
INFO_KEY_E_BODY,全队进入极速冲刺：**机炮打不中你**（100% 闪避）、导弹极难命中（靠滚转甩脱），代价是**期间不能攻击**。这是脱离险境与抢占位置的保命键，不是输出键。\n能量池上限 6 秒，被动回充约 30 秒充满，每次击杀 +0.8 秒，开局满格。**有能量就能启动**，不必等满；激活中再按一次可提前关闭、保住剩余能量。,"The whole squad sprints: **cannon fire cannot touch you** (100% dodge) and missiles are shaken off by rolling — at the price of **not being able to attack** while it lasts. It is an escape-and-reposition button, not a damage button.\nThe pool holds 6 seconds, refills passively in about 30, and gains +0.8s per kill; you start a run with a full tank. **Any charge is enough to start** — press again to end early and bank the rest.",全機が全速スプリントに入る：**機関砲は当たらず**（回避100%）、ミサイルもロールで振り切る。代償は**発動中は攻撃できない**こと。撃つためではなく、離脱と位置取りのためのキーだ。\nエネルギーは上限6秒、自然回復で約30秒、撃墜ごとに+0.8秒、開始時は満タン。**残量があれば発動可能**で、もう一度押せば早期終了して残りを温存できる。
INFO_KEY_R_TITLE,手动机动,Manual maneuver,手動機動
INFO_KEY_R_BODY,释放当前已获得的规避机动：眼镜蛇、J-Turn 或胆大妄为。三者互相排斥，拿到一个后另两个不再出现。眼镜蛇/J-Turn **无需先开加力**；没有对应技能或冷却中时按下无效。,"Triggers your acquired evasive maneuver: Cobra, J-Turn, or Reckless Abandon. The three are mutually exclusive; taking one removes the other two from the pool. Cobra and J-Turn **do not require Afterburner**. The key does nothing without a maneuver or while it is cooling down.",取得した回避機動（コブラ・Jターン・大胆不敵）を発動。3つは相互排他で、1つ取得すると残りは出現しない。コブラ/Jターンは**AB不要**。未取得またはクールダウン中は無効。
INFO_KEY_F_TITLE,导弹自动发射,Missile auto-fire,ミサイル自動発射
INFO_KEY_F_BODY,开关自机的导弹自动发射。关掉后即使锁定完成也不会自己射，适合攒弹打关键目标。,"Toggles automatic missile launch for your jet. With it off, a completed lock will not fire on its own — useful for saving shots for a target that matters.",自機のミサイル自動発射を切替。オフならロック完了でも自動発射せず、重要目標に温存できる。
INFO_KEY_Q_TITLE,高度偏好,Altitude preference,高度選好
INFO_KEY_Q_BODY,"切换自机偏好爬升还是压低空。高低空各有优劣（见""飞行与机动""）。",Toggles whether your jet prefers to climb or stay low. Both have trade-offs — see the Flight section.,自機が上昇を好むか低空を保つかを切替。高低それぞれ利点がある（「飛行と機動」参照）。
INFO_KEY_T_TITLE,武器优先,Weapon priority,武装優先
INFO_KEY_T_BODY,切换自机优先用导弹还是机炮。导弹打光时会自动改用机炮。,Toggles whether your jet reaches for missiles or guns first. It falls back to guns automatically when missiles run dry.,自機がミサイルとガンのどちらを優先するか切替。ミサイルが尽きれば自動でガンに切り替わる。
INFO_KEY_C_TITLE,小队交战姿态,Squad engagement stance,小隊交戦姿勢
INFO_KEY_C_BODY,循环切换僚机的交战方式：自由交战 / 跟随编队 / 守护长机。,"Cycles how your wingmen fight: engage freely, hold formation, or guard the leader.",僚機の戦い方を循環切替：自由交戦／編隊追従／長機護衛。
INFO_KEY_V_TITLE,小队武器偏好,Squad weapon priority,小隊武装優先
INFO_KEY_V_BODY,统一切换全体僚机偏好导弹还是机炮。,Sets missile-or-gun preference for the whole flight at once.,僚機全機のミサイル／ガン優先を一括で切替。
INFO_KEY_TAB_TITLE,战术地图,Tactical map,戦術マップ
INFO_KEY_TAB_BODY,打开战区全图（游戏暂停）：查看战区目标与奖励、当前升级、三轴属性与机体数据。战区悬停可看任务与奖励详情。,"Opens the theater map and pauses the game: zone objectives and rewards, your current upgrades, the three attribute axes and airframe data. Hover a zone for its mission and reward details.",戦域マップを開き一時停止：エリア目標と報酬、取得済み強化、三軸ステータスと機体データを確認できる。エリアにカーソルを合わせると任務と報酬の詳細が出る。
INFO_KEY_SPACE_TITLE,镜头归位,Recenter camera,カメラ復帰
INFO_KEY_SPACE_BODY,镜头平滑飞回当前操控机并恢复跟随。,Smoothly returns the camera to the jet you control and resumes following it.,カメラが操作機へ滑らかに戻り、追尾を再開する。
INFO_KEY_ESC_TITLE,暂停菜单,Pause menu,ポーズメニュー
INFO_KEY_ESC_BODY,打开暂停菜单（冻结全场）。战术地图打开时按 ESC 则是关闭地图。,"Opens the pause menu and freezes everything. If the tactical map is open, ESC closes the map instead.",ポーズメニューを開き全体を停止。戦術マップが開いている場合は ESC でマップを閉じる。
INFO_SQUAD_GRAMMAR_TITLE,一条操作语法：单点管自己，轮盘管全队,"One rule: click commands you, wheel commands everyone",操作の原則：単クリックは自機、ホイールは全機
INFO_SQUAD_GRAMMAR_BODY,记住这条就不会下错命令——**单击只指挥你当前操控的那一架**，**轮盘命令永远广播给整个小队**。,"Remember this and you will never mis-issue an order: **a single click commands only the jet you are flying**, while **wheel orders always broadcast to the entire squad**.",これさえ覚えれば誤命令はない——**単クリックは操作中の一機のみ**、**ホイール命令は常に小隊全体へ**。
INFO_SQUAD_WHEEL_TITLE,小队命令轮盘,Squad command wheel,小隊コマンドホイール
INFO_SQUAD_WHEEL_BODY,在空域按住拖拽呼出：紧急集合（全力靠拢）、撤离此区（从圈内径向散出并短时禁入）、防守此区（全队自主清剿圈内全部目标，出圈不追，清空后继续守备）。还有几个常驻开关：自动交战、高度偏好、自动发射。,"Hold-drag over empty space: regroup (everyone closes up at full power), evacuate area (scatter radially out of the circle and stay out briefly), guard area (the squad autonomously clears every target inside, never chases outside, and keeps guarding afterward). It also carries standing toggles: auto-engage, altitude preference, auto-fire.",空域で長押しドラッグ：緊急集合（全力で集結）、エリア退避（円内から放射状に離脱し一時進入禁止）、エリア防衛（全機が圏内の全目標を自律掃討し、圏外へは追わず、掃討後も防衛継続）。常設トグル（自動交戦・高度選好・自動発射）も備える。
INFO_SQUAD_ATTACK_TITLE,攻击轮盘,Attack wheel,攻撃ホイール
INFO_SQUAD_ATTACK_BODY,在敌人身上按住拖拽呼出，两个维度自由组合：**姿态**（保持距离＝打了就拉开 / 突击＝贴身缠住）×**火力分配**（集火＝全队同一目标并自动从不同方位切入 / 分火＝各自挑目标、不重复超杀）。,"Hold-drag on a hostile. Two independent axes: **stance** (stand off — shoot and separate / assault — stay glued) × **fire allocation** (focus — everyone on one target, entering from separated bearings / spread — pick individual targets and avoid overkill).",敵機上で長押しドラッグ。二軸を自由に組み合わせる：**姿勢**（距離維持＝撃って離脱／突撃＝密着）×**火力配分**（集中＝全機同一目標へ別方位から／分散＝各自別目標でオーバーキル回避）。
INFO_SQUAD_IRON_TITLE,点名目标是铁律,Assigned targets are law,指定目標は絶対
INFO_SQUAD_IRON_BODY,你点名的目标，AI 永不覆盖，而且**逐机独立保存**：切到别的号机再切回来，它咬的还是你当初指的那个。,"Targets you assign are never overridden by the AI, and they are **stored per aircraft** — switch away and back, and that jet is still after exactly what you pointed at.",指定した目標を AI が上書きすることはなく、**機体ごとに保持**される。別機に乗り換えて戻っても、指した相手を追い続けている。
INFO_SQUAD_SWITCH_TITLE,换机不换命令,Switching seats does not drop orders,乗り換えても命令は残る
INFO_SQUAD_SWITCH_BODY,你离开的飞机由 AI 接手，会把手上的交战打完再归队；被你接管的飞机立刻听你的。整个小队的命令状态不会因为切控而丢失。,The jet you leave is picked up by the AI and finishes its current engagement before rejoining; the one you take over answers to you immediately. Squad-wide orders survive the swap intact.,離れた機体は AI が引き継ぎ、交戦を終えてから編隊に戻る。乗り移った機体は即座に指示に従う。小隊の命令状態は乗り換えで失われない。
INFO_FLIGHT_CORNER_TITLE,角点速度：转得最快的那个速度,Corner speed: where you turn best,コーナー速度：最も速く曲がれる速度
INFO_FLIGHT_TURN_TITLE,转弯半径：减速比拉杆更管用,Turn radius: slowing beats pulling,旋回半径：減速は引きに勝る
INFO_FLIGHT_TIER_TITLE,三个高度档,Three altitude bands,三つの高度帯
INFO_FLIGHT_TIER_BODY,飞机在低空 / 中空 / 高空三档之间切换（约 3500 米与 7500 米为界）。高度不只是数字——它同时改变你的顶速、雷达距离和被锁定的难度。,"Aircraft move between low, medium and high bands (roughly 3,500 m and 7,500 m are the boundaries). Altitude is not just a number — it changes your top speed, your radar reach and how easily you are locked.","機体は低・中・高の三帯を移動する（境界は約3,500mと7,500m）。高度は単なる数値ではなく、最高速度・レーダー距離・被ロックのしやすさを同時に変える。"
INFO_FLIGHT_ALT_HIGH_TITLE,高空的好处,What altitude buys you,高高度の利点
INFO_FLIGHT_ALT_LOW_TITLE,低空的好处,What the deck buys you,低空の利点
INFO_FLIGHT_CLOUD_TITLE,云层,Clouds,雲
INFO_FLIGHT_STALL_TITLE,失速与安全地板,Stall and the safety floor,失速と安全下限
INFO_FLIGHT_STALL_BODY,速度过低会失速，但游戏为你兜底：**急刹刹不进失速，硬转弯也不会把自己转到掉下来**。放心大胆地用减速去换转弯角度。,"Fly too slow and you stall — but the game floors it for you: **the hard brake cannot push you into a stall, and hauling on the turn will not drop you out of the sky**. Trade speed for angles freely.",速度が落ちすぎれば失速するが、ゲーム側に下限がある：**急制動で失速することはなく、無理な旋回で墜ちることもない**。安心して速度を角度に変えてよい。
INFO_WEAPON_ONESHOT_TITLE,除 BOSS 外，一发即杀,"Outside of bosses, one hit kills",BOSS 以外は一撃必殺
INFO_WEAPON_ONESHOT_BODY,**除 BOSS 之外的所有空中敌人，被导弹命中一发就会坠毁**——包括王牌中队。所以难点从来不是打掉多少血，而是**能不能命中**：对方的热诱弹、机动与速度才是真正的护甲。,"**Every airborne enemy except bosses dies to a single missile hit** — ace squadrons included. The problem was never how much health they have; it is whether you can connect at all. Their flares, their maneuvering and their speed are the real armor.",**BOSS 以外の空中の敵は、ミサイル一発で墜ちる**——エース中隊も例外ではない。問題は体力ではなく「当てられるか」。フレアと機動と速度こそが本当の装甲だ。
INFO_WEAPON_LOCK_TITLE,雷达锁定,Radar lock,レーダーロック
INFO_WEAPON_LOCK_BODY,导弹要先锁定：把目标保持在机头前方的雷达锥内，锁定进度会持续累积；目标出锥则进度衰减。锁定时间与雷达锥角写在机体数据里（Tab 页可查）。,Missiles need a lock: keep the target inside the radar cone ahead of your nose and the lock builds; let it slip outside and the progress decays. Lock time and cone width are part of each airframe's data (visible on the Tab screen).,ミサイルにはロックが要る：機首前方のレーダーコーン内に目標を保てば進捗が溜まり、外れれば減衰する。ロック時間とコーン角は機体データに記載（Tab画面で確認可）。
INFO_WEAPON_RANGE_TITLE,导弹射程随情况变化,Missile range is situational,ミサイル射程は状況次第
INFO_WEAPON_SWEET_TITLE,最佳发射距离,The range that actually kills,実際に当たる射程
INFO_WEAPON_CRANK_TITLE,发射后要继续照射,Keep the nose on after launch,発射後も照射を維持
INFO_WEAPON_FLARE_TITLE,热诱弹,Flares,フレア
INFO_WEAPON_GUN_TITLE,机炮,Guns,機関砲
INFO_WEAPON_GUN_BODY,机炮成梭发射而不是匀速滴弹，命中要靠提前量——飞机会自动把机头指向目标的**未来位置**。近距离、大角度时机炮比导弹可靠得多。,"Guns fire in bursts rather than a steady trickle, and hitting means leading the target — your jet automatically aims where the target **will be**. Up close and off-angle, guns are far more reliable than missiles.",機関砲は一定間隔ではなくバースト射撃で、命中には偏差が要る——機体は目標の**未来位置**へ自動で機首を向ける。近距離・大角度ではミサイルより遥かに確実だ。
INFO_WEAPON_RELOAD_TITLE,弹药与装填,Ammunition and reloads,弾薬と再装填
INFO_WEAPON_SWAP_TITLE,武器切换,Switching weapons,武装の切替
INFO_RUN_LOOP_TITLE,一局的流程,How a run goes,一戦の流れ
INFO_RUN_LOOP_BODY,推进战区、完成战区任务拿奖励，攻克 3 个战区后 BOSS 决战点解锁；击败 BOSS 即通关。战区选择与任务详情在战术地图（Tab）里看。,"Push into zones and clear their objectives for rewards; after three zones are cleared the boss appears, and beating it ends the run. Pick zones and read mission details on the tactical map (Tab).",エリアへ進攻し任務を達成して報酬を得る。3エリア攻略で BOSS 決戦が解放され、撃破すればクリア。エリア選択と任務詳細は戦術マップ（Tab）で確認する。
INFO_RUN_BOUNDARY_TITLE,战区边界与补给,The boundary and resupply,境界と補給
INFO_RUN_TIME_TITLE,时间就是难度,Time is difficulty,時間＝難度
INFO_RUN_DOCK_TITLE,停靠：领奖与进化,Docking: rewards and evolution,着陸：報酬と進化
INFO_RUN_DOCK_BODY,战区奖励、机体进化与补充僚机都要**飞到停靠点降落**才能领取：把速度压到 250 km/h 以下并保持一小会儿即可完成着陆。机场与航母都是停靠点。,"Zone rewards, airframe evolution and wingman replacements all require **landing at a docking point**: drop below 250 km/h and hold it for a moment. Airfields and the carrier both work.",エリア報酬・機体進化・僚機補充はいずれも**着陸地点への着陸**が必要：速度を250km/h以下に落として少し維持すればよい。飛行場も空母も着陸地点になる。
INFO_RUN_UPGRADE_TITLE,升级与三轴,Upgrades and the three axes,強化と三軸
INFO_RUN_UPGRADE_BODY,击杀累积经验，升级时三选一。每张卡都属于某条属性轴，选卡同时推进该轴——轴点数决定你能进化到哪些机型，均衡与专精各有出路。,"Kills earn experience and each level offers a choice of three cards. Every card belongs to an attribute axis, and taking it advances that axis — axis points gate which airframes you can evolve into. Balanced and specialized builds both have paths.",撃墜で経験値が貯まり、レベルアップごとに三択。各カードは属性軸に属し、取得でその軸が伸びる——軸ポイントが進化可能な機体を決める。均衡型も特化型も道はある。
INFO_RUN_EVOLVE_TITLE,机体进化,Airframe evolution,機体進化
INFO_RUN_EVOLVE_BODY,在停靠点可以把座机换成更强的机型，前提是等级与属性轴达标。你获得的特殊武器会跟着你走，换机不丢。,"At a docking point you can trade up to a stronger airframe, provided your level and attribute axes meet its gate. Special weapons you have picked up carry over — changing jets does not lose them.",着陸地点でより強力な機体へ乗り換えられる（レベルと属性軸の条件を満たせば）。入手した特殊兵装は引き継がれ、機体を変えても失わない。
INFO_INTEL_ACE_TITLE,王牌中队,Ace squadrons,エース中隊
INFO_INTEL_ACE_BODY,战局中段起，成建制的敌方王牌中队会专程赶来找你——它们有自己的代号、涂装和战术，咬住就不松口。全部击坠可为本局争取额外时间。它们同样一发即死，难在命中。,"From the middle of a run, enemy ace squadrons come looking for you as organized units — each with its own codename, markings and tactics, and none of them let go once they latch on. Wiping one out buys extra time for the run. They die to one hit like anything else; the hard part is landing it.",戦局中盤から、敵のエース中隊が編成単位で君を狙って現れる——固有のコードネーム・塗装・戦術を持ち、食らいついたら離さない。全機撃墜すればこの戦いに追加時間が得られる。彼らも一撃で墜ちる、当てられればの話だが。
INFO_INTEL_BOSS_TITLE,BOSS,Bosses,BOSS
INFO_INTEL_BOSS_BODY,"BOSS 是唯一豁免""一发即死""的敌人：有血条、有多条命、有专属演出与战术。击败 BOSS 即通关本局。","Bosses are the only enemies exempt from the one-hit rule: they have health bars, multiple lives, their own staging and their own tactics. Beating one ends the run.",BOSS だけが「一撃必殺」の例外だ：体力バーと複数の命、専用の演出と戦術を持つ。撃破すればその戦いはクリアとなる。
INFO_INTEL_SENTINEL_TITLE,指挥机,Command drones,指揮機
CODEX_TITLE,[ 敌人图鉴 ],[ ENEMY CODEX ],[ 敵機名鑑 ]
CODEX_SUBTITLE,将前人化作自己的血肉。,Make those who came before into your own flesh and blood.,先人を己の血肉と化す。
CODEX_PROGRESS_FMT,收录 %d / %d,%d / %d catalogued,収録 %d / %d
CODEX_LOCKED,资料未解锁——击败它即写入档案。,File locked — defeat it to unlock.,資料未解禁——撃破すれば記録される。
CODEX_NEVER_MET,尚未遭遇,Not yet encountered,未遭遇
CODEX_MET_FMT,已遭遇 %d 次——它认识你了。,Encountered %d times — it knows you now.,遭遇 %d 回——向こうはもう君を知っている。
CODEX_SHOTDOWN_FMT,累计击坠 %d,%d shot down,累計撃墜 %d
CODEX_DESTROYED_FMT,累计摧毁 %d,%d destroyed,累計破壊 %d
CODEX_DEFEATED_FMT,击破 %d 次,Defeated %d times,撃破 %d 回
CODEX_ENCOUNTERS_FMT,遭遇 %d 次,%d encounters,遭遇 %d 回
CODEX_FIRST_FMT,首次击破 %s,First defeat %s,初撃破 %s
CODEX_ORION_UNIT_FMT,下一架：%s,Next airframe: %s,次の機体：%s
CODEX_SECTION_AIR,── 空中敌人 ──,── AIRBORNE ──,── 航空戦力 ──
CODEX_SECTION_ADDS,── 非战斗机群 ──,── NON-FIGHTERS ──,── 非戦闘機群 ──
CODEX_SECTION_GROUND,── 地面单位 ──,── GROUND ──,── 地上部隊 ──
CODEX_SECTION_ACE,── 王牌中队 ──,── ACE SQUADRONS ──,── エース中隊 ──
CODEX_SECTION_BOSS,── BOSS ──,── BOSS ──,── BOSS ──
CODEX_UAV_NAME,MQ-109,MQ-109,MQ-109
CODEX_UAV_DESC,机炮无人机。最常见的敌人——成群出现、一发就掉。,Gun drone. The most common enemy — swarms in numbers and dies to a single hit.,機関砲ドローン。最も一般的な敵——群れで現れ一撃で落ちる。
CODEX_UCAV_NAME,MQ-110,MQ-110,MQ-110
CODEX_UCAV_DESC,导弹无人机。MQ-109 的挂弹型，会从远处放冷箭。,Missile drone. The armed variant of the MQ-109 — takes potshots from range.,ミサイルドローン。MQ-109の武装型で遠距離から狙ってくる。
CODEX_F4E_NAME,F-4E 鬼怪,F-4E Phantom,F-4E ファントム
CODEX_F4E_DESC,第一种有人敌机。只带导弹、没有机炮，平飞快而盘旋笨。,"The first crewed enemy. Missiles only — fast in a straight line, clumsy in a turn.",最初の有人機。ミサイルのみで機関砲は無し。直線は速いが旋回は鈍い。
CODEX_F86_NAME,F-86 佩刀,F-86 Sabre,F-86 セイバー
CODEX_F86_DESC,老式斗士。贴上来近身缠斗，附带火箭弹骚扰。,"An old-school dogfighter. Closes to knife range, with rockets for harassment.",旧式の格闘機。接近戦を挑み、ロケット弾で牽制する。
CODEX_A7_NAME,A-7 海盗二式,A-7 Corsair II,A-7 コルセアII
CODEX_A7_DESC,亚音速攻击机。速度平庸，靠火箭弹和数量说话。,Subsonic attacker. Unremarkable speed — it argues with rockets and numbers.,亜音速攻撃機。速度は凡庸、ロケット弾と数で押す。
CODEX_MIG23_NAME,MiG-23 鞭挞者,MiG-23 Flogger,MiG-23 フロッガー
CODEX_MIG23_DESC,编队斗士。导弹机炮通吃，缠斗能力扎实。,Formation brawler. Missiles and guns both — a solid hand in a turning fight.,編隊格闘機。ミサイルと機関砲の両刀で格闘戦に強い。
CODEX_INTERCEPTOR_NAME,J-7 截击机,J-7 Interceptor,J-7 迎撃機
CODEX_INTERCEPTOR_DESC,轻型骑士。高速冲一轮就脱离，从不跟你缠斗。,Light lancer. One high-speed pass and it's gone — it never stays to turn.,軽量ランサー。高速で一撃離脱、決して格闘には付き合わない。
CODEX_Q5_NAME,Q-5 强击机,Q-5 Fantan,Q-5 ファンタン
CODEX_Q5_DESC,超音速攻击机。比 A-7 快一档的火箭弹平台。,Supersonic attacker. A rocket platform a notch quicker than the A-7.,超音速攻撃機。A-7より一段速いロケット弾プラットフォーム。
CODEX_F100_NAME,F-100 超佩刀,F-100 Super Sabre,F-100 スーパーセイバー
CODEX_F100_DESC,中量骑士。成建制打带跑，一队一队地压过来。,Medium lancer. Hit-and-run by the flight — they come at you in waves.,中量級ランサー。編隊単位で一撃離脱を繰り返す。
CODEX_F4_NAME,F-4 鬼怪,F-4 Phantom,F-4 ファントム
CODEX_F4_DESC,导弹卡车。挂满中距弹的重型平台，远距离最难受的对手。,Missile truck. A heavy platform stuffed with mid-range shots — miserable to face at distance.,ミサイル運搬車。中距離弾を満載した重量級、遠距離では最も厄介。
CODEX_MIG_NAME,MiG-29 支点,MiG-29 Fulcrum,MiG-29 ファルクラム
CODEX_MIG_DESC,主力威胁。战术齐全的全能对手，编队出现。,Mainline threat. A well-rounded opponent with a full tactical repertoire.,主力の脅威。戦術を一通り備えた万能機で編隊で現れる。
CODEX_F104_NAME,F-104 星式战斗机,F-104 Starfighter,F-104 スターファイター
CODEX_F104_DESC,纯速度截击机。直线快到离谱，转弯是它的软肋。,"Pure-speed interceptor. Absurd in a straight line, helpless in a turn.",速度特化の迎撃機。直線は異常に速いが旋回は苦手。
CODEX_SU27_NAME,Su-27 侧卫,Su-27 Flanker,Su-27 フランカー
CODEX_SU27_DESC,精英斗士。会用眼镜蛇机动急停——咬它尾巴的人常常冲过头。,Elite brawler. Pulls a Cobra to stop dead — chase its six and you'll overshoot.,エリート格闘機。コブラ機動で急停止する——尾を追えば行き過ぎる。
CODEX_SU35_NAME,Su-35 超级侧卫,Su-35 Super Flanker,Su-35 スーパーフランカー
CODEX_SU35_DESC,四代半矢量机。Su-27 的全面强化版，同样会眼镜蛇。,4.5-gen thrust-vectoring. An upgraded Flanker in every axis — and it still Cobras.,4.5世代のTVC機。全面強化されたSu-27、コブラも健在。
CODEX_MIG31_NAME,MiG-31 猎狐犬,MiG-31 Foxhound,MiG-31 フォックスハウンド
CODEX_MIG31_DESC,顶级骑士。全场最快，长射程雷达弹从视距外招呼你。,Top-tier lancer. The fastest thing out there — long-range shots from beyond visual range.,最上位ランサー。全機中最速、視程外から長射程弾を撃ち込む。
CODEX_FA18_NAME,F/A-18 大黄蜂,F/A-18 Hornet,F/A-18 ホーネット
CODEX_FA18_DESC,舰载斗士。由航母弹射升空，海军飞行员训练扎实。,"Carrier brawler. Catapulted off the deck — navy pilots, properly trained.",艦載格闘機。空母から射出される、練度の高い海軍パイロット。
CODEX_UAV_COMMANDER_NAME,Sentinel 指挥机,Sentinel Commander,センチネル指揮機
CODEX_UAV_COMMANDER_DESC,无人机指挥节点。自带护航蜂群，玩家靠近就往后缩。,Drone command node. Comes with its own escort swarm and backs off when you close.,ドローン指揮ノード。護衛の群れを連れ、近づけば後退する。
CODEX_AF03_NAME,AF-03 电磁炮无人机,AF-03 Railgun Drone,AF-03 レールガンドローン
CODEX_AF03_DESC,远距狙击无人机。在视距边缘充能、预判你的航迹开火。,Long-range sniper drone. Charges at the edge of detection and fires where you'll be.,遠距離狙撃ドローン。視程の端で充電し、進路を先読みして撃つ。
CODEX_UAV_LASER_NAME,Aegis 拦截无人机,Aegis Interceptor UAV,イージス迎撃UAV
CODEX_UAV_LASER_DESC,激光拦截平台。不打你——专门烧掉你射出去的导弹。,Laser interception platform. It doesn't shoot you — it burns down your missiles.,レーザー迎撃機。君を撃たず、放ったミサイルを焼き落とす。
CODEX_MIRAGE3_NAME,Mirage III 幻影三式,Mirage III,Mirage III ミラージュIII
CODEX_MIRAGE3_DESC,高速截击机。只做一次干净的攻击航线然后脱离。,High-speed interceptor. It makes one clean attack pass and leaves.,高速迎撃機。一度の攻撃航過を終えると離脱する。
CODEX_A6E_NAME,A-6E 入侵者,A-6E Intruder,A-6E イントルーダー
CODEX_A6E_DESC,低空攻击机。贴地突进后投完火力立即撤离。,Low-level attacker. It rushes in low and withdraws after delivering its payload.,低空攻撃機。低空で突入し攻撃後は直ちに離脱する。
CODEX_A10_NAME,A-10 雷电二式,A-10 Thunderbolt II,A-10 サンダーボルトII
CODEX_A10_DESC,低速强攻机。血量厚且喜欢用机炮压住近空。,Slow assault aircraft. Tough and eager to dominate close airspace with its gun.,低速強襲機。頑丈で機関砲により近距離を制圧する。
CODEX_F16_NAME,F-16 战隼,F-16 Fighting Falcon,F-16 ファイティング・ファルコン
CODEX_F16_DESC,轻型格斗机。灵活而积极地进入持续缠斗。,Light dogfighter. Agile and willing to commit to a sustained turning fight.,軽量格闘機。機敏で継続的な旋回戦を好む。
CODEX_VIGGEN_NAME,Saab 37 雷式,Saab 37 Viggen,Saab 37 ビゲン
CODEX_VIGGEN_DESC,高速截击机。冲锋射击后沿直线迅速拉开。,Fast interceptor. It attacks on the charge then extends away in a straight line.,高速迎撃機。突進攻撃の後は直線で素早く距離を取る。
CODEX_HARRIER_NAME,Harrier 鹞式,Harrier,ハリアー
CODEX_HARRIER_DESC,高鼻向近战机。速度不高但近距离转头很快。,High-nose close fighter. It lacks speed but points quickly at short range.,高迎角の近接機。速度は低いが近距離では素早く機首を向ける。
CODEX_MIRAGE2000_NAME,Mirage 2000 幻影,Mirage 2000,Mirage 2000 ミラージュ2000
CODEX_MIRAGE2000_DESC,三角翼格斗机。靠高速盘旋反复争夺尾位。,Delta-wing dogfighter. It uses fast turns to keep contesting the rear quarter.,デルタ翼格闘機。高速旋回で後方位置を奪い続ける。
CODEX_GRIPEN_C_NAME,JAS 39C 鹰狮,JAS 39C Gripen,JAS 39C グリペン
CODEX_GRIPEN_C_DESC,协同导弹机。三机分配不同目标后同时开火。,Cooperative missile fighter. A three-ship flight divides targets before firing together.,協同ミサイル機。三機で別々の目標を分担して同時に発射する。
CODEX_TORNADO_NAME,Tornado 狂风,Tornado,トーネード
CODEX_TORNADO_DESC,重型突击机。高速掠袭并拒绝陷入盘旋战。,Heavy strike fighter. It raids at speed and refuses to remain in a turning fight.,重攻撃機。高速で襲撃し旋回戦には留まらない。
CODEX_F15_NAME,F-15 鹰,F-15 Eagle,F-15 イーグル
CODEX_F15_DESC,重型格斗机。能量充足且会持续追逐近战目标。,Heavy dogfighter. It carries ample energy and stays on a close target.,重戦闘機。豊富なエネルギーで近距離目標を追い続ける。
CODEX_F14_NAME,F-14 雄猫,F-14 Tomcat,F-14 トムキャット
CODEX_F14_DESC,远程舰载截击机。完成导弹攻击后会拉开重新布置。,Long-range carrier interceptor. It extends after its missile pass to reset.,長距離艦上迎撃機。ミサイル攻撃後は距離を取り再配置する。
CODEX_FA18E_NAME,F/A-18E 超级大黄蜂,F/A-18E Super Hornet,F/A-18E スーパーホーネット
CODEX_FA18E_DESC,舰载多用途格斗机。均衡但明确偏好近距离缠斗。,Carrier multirole fighter. Balanced but clearly committed to close combat.,艦上多用途戦闘機。均整が取れているが近接戦を明確に好む。
CODEX_F15E_NAME,F-15E 攻击鹰,F-15E Strike Eagle,F-15E ストライクイーグル
CODEX_F15E_DESC,重载突击机。一次投射大量火力后脱离战区。,Heavy strike fighter. It delivers a large attack package then exits.,重武装攻撃機。一度に大火力を投射して離脱する。
CODEX_SU34_NAME,Su-34 鸭嘴兽,Su-34 Fullback,Su-34 フルバック
CODEX_SU34_DESC,重型打击机。耐打但只执行高速攻击航线。,Heavy strike aircraft. Durable but disciplined around high-speed attack runs.,重打撃機。頑丈だが高速攻撃航過だけを遂行する。
